"Emoji label","Src"
":_PON:","https://utsulog.in/custom_emojis/_PON.png"
":_www:","https://utsulog.in/custom_emojis/_www.png"
":_うつろ:","https://utsulog.in/custom_emojis/_うつろ.png"
":_うつろスキー:","https://utsulog.in/custom_emojis/_うつろスキー.png"
":_ｳﾂﾛﾁｬﾝ:","https://utsulog.in/custom_emojis/_ｳﾂﾛﾁｬﾝ.png"
":_うつ虐:","https://utsulog.in/custom_emojis/_うつ虐.png"
":_えらいぞ:","https://utsulog.in/custom_emojis/_えらいぞ.png"
":_おさんぽ:","https://utsulog.in/custom_emojis/_おさんぽ.png"
":_お給金:","https://utsulog.in/custom_emojis/_お給金.png"
":_お祝い:","https://utsulog.in/custom_emojis/_お祝い.png"
":_カスのおねえちゃん:","https://utsulog.in/custom_emojis/_カスのおねえちゃん.png"
":_キッズ:","https://utsulog.in/custom_emojis/_キッズ.png"
":_ごきげんよう:","https://utsulog.in/custom_emojis/_ごきげんよう.png"
":_ごしゅ泣き:","https://utsulog.in/custom_emojis/_ごしゅ泣き.png"
":_ゴの意識:","https://utsulog.in/custom_emojis/_ゴの意識.png"
":_ご主人様:","https://utsulog.in/custom_emojis/_ご主人様.png"
":_サイリウム:","https://utsulog.in/custom_emojis/_サイリウム.png"
":_さがよい:","https://utsulog.in/custom_emojis/_さがよい.png"
":_ジタバタうつろ:","https://utsulog.in/custom_emojis/_ジタバタうつろ.png"
":_でかした:","https://utsulog.in/custom_emojis/_でかした.png"
":_なるほどどんぐり:","https://utsulog.in/custom_emojis/_なるほどどんぐり.png"
":_なるほど仮スタンプ:","https://utsulog.in/custom_emojis/_なるほど仮スタンプ.png"
":_にこにこ:","https://utsulog.in/custom_emojis/_にこにこ.png"
":_ぱっちり:","https://utsulog.in/custom_emojis/_ぱっちり.png"
":_ひゃー:","https://utsulog.in/custom_emojis/_ひゃー.png"
":_フラグ:","https://utsulog.in/custom_emojis/_フラグ.png"
":_プレゼント:","https://utsulog.in/custom_emojis/_プレゼント.png"
":_メイドサイレン:","https://utsulog.in/custom_emojis/_メイドサイレン.png"
":_やりましょう:","https://utsulog.in/custom_emojis/_やりましょう.png"
":_弱いねぇ:","https://utsulog.in/custom_emojis/_弱いねぇ.png"
":_勝ち風呂:","https://utsulog.in/custom_emojis/_勝ち風呂.png"
":_上飲み:","https://utsulog.in/custom_emojis/_上飲み.png"
":_寝つろ:","https://utsulog.in/custom_emojis/_寝つろ.png"
":_待機中:","https://utsulog.in/custom_emojis/_待機中.png"
":_悲しい:","https://utsulog.in/custom_emojis/_悲しい.png"
